"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'blown'	(('VBN', 1.0),)
'blows'	(('NNS', 1.0),)
'blowtorch'	(('NN', 1.0),)
'blowup'	(('NN', 1.0),)
'bludgeoned'	(('VBN', 1.0),)
'blue'	(('JJ', 0.6786), ('NNP', 0.2143), ('NN', 0.1071))
'blue-chip'	(('JJ', 1.0),)
'blue-chips'	(('NNS', 1.0),)
'blue-collar'	(('JJ', 1.0),)
'blue-ribbon'	(('JJ', 1.0),)
'bluebloods'	(('NNS', 1.0),)
'blueprint'	(('NN', 1.0),)
'blues'	(('NNPS', 0.4), ('NNS', 0.4), ('NNP', 0.2))
'bluesy'	(('JJ', 1.0),)
'bluff'	(('NNP', 1.0),)
'bluish'	(('JJ', 1.0),)
'blum'	(('NNP', 1.0),)
'blumenfeld'	(('NNP', 1.0),)
'blumenthal'	(('NNP', 1.0),)
'blumstein'	(('NNP', 1.0),)
'blunder'	(('NN', 0.6667), ('VB', 0.3333))
'blundered'	(('VBD', 1.0),)
'blunders'	(('NNS', 1.0),)
'blunt'	(('NNP', 0.4286), ('VB', 0.2857), ('JJ', 0.2857))
'blunted'	(('VBN', 0.75), ('VBD', 0.25))
'bluntly'	(('RB', 1.0),)
'blur'	(('VB', 1.0),)
'blurred'	(('VBD', 1.0),)
'blurring'	(('VBG', 1.0),)
'blurry'	(('JJ', 1.0),)
'blurt'	(('VBP', 1.0),)
'bmp'	(('NNP', 1.0),)
'bmw'	(('NNP', 1.0),)
'bmws'	(('NNS', 1.0),)
'bnl'	(('NNP', 1.0),)
'bo'	(('NNP', 1.0),)
'boa'	(('NN', 1.0),)
'boake'	(('NNP', 1.0),)
'board'	(('NN', 0.5554), ('NNP', 0.4429), ('VB', 0.0018))
'board-level'	(('JJ', 1.0),)
'board-listed'	(('JJ', 1.0),)
'boardroom'	(('NN', 1.0),)
'boardrooms'	(('NNS', 1.0),)
'boards'	(('NNS', 1.0),)
'boast'	(('VB', 0.5), ('NN', 0.5))
'boasted'	(('VBD', 0.6), ('VBN', 0.4))
'boasts'	(('VBZ', 1.0),)
'boat'	(('NN', 0.8182), ('NNP', 0.1818))
'boaters'	(('NNS', 1.0),)
'boating'	(('VBG', 1.0),)
'boatload'	(('NN', 1.0),)
'boatmen'	(('NNP', 1.0),)
'boats'	(('NNS', 1.0),)
'bob'	(('NNP', 1.0),)
'bobar'	(('NNP', 1.0),)
'bobby'	(('NNP', 1.0),)
'bocas'	(('NNP', 1.0),)
'boccone'	(('NNP', 1.0),)
'bochniarz'	(('NNP', 1.0),)
'bock'	(('NNP', 1.0),)
'bockius'	(('NNP', 1.0),)
'bockris'	(('NNP', 1.0),)
'bodacious'	(('JJ', 1.0),)
'boddington'	(('NNP', 1.0),)
'bode'	(('VB', 1.0),)
'bodegas'	(('NNS', 1.0),)
'bodes'	(('VBZ', 1.0),)
'bodies'	(('NNS', 1.0),)
'bodmer'	(('NNP', 1.0),)
'body'	(('NN', 0.9677), ('NNP', 0.0323))
'bodyworkers'	(('NNS', 1.0),)
'boehm'	(('NNP', 1.0),)
'boehringer'	(('NNP', 1.0),)
'boehringer-ingleheim'	(('NNP', 1.0),)
'boeing'	(('NNP', 0.9388), ('VBG', 0.0612))
'boeings'	(('NNPS', 1.0),)
'boesel'	(('NNP', 1.0),)
'boesky'	(('NNP', 1.0),)
'boettcher'	(('NNP', 1.0),)
'bofors'	(('NNP', 1.0),)
'bog'	(('VB', 1.0),)
'boga'	(('NNP', 1.0),)
'bogart'	(('NNP', 1.0),)
'bogdan'	(('NNP', 1.0),)
'bogged'	(('VBD', 1.0),)
'bogging'	(('VBG', 1.0),)
'bognato'	(('NNP', 1.0),)
'bogota'	(('NNP', 1.0),)
'bogus'	(('JJ', 1.0),)
'boheme'	(('NNP', 1.0),)
'boies'	(('NNP', 1.0),)
'boil'	(('NN', 1.0),)
'boiler'	(('NN', 1.0),)
'boiler-room'	(('NN', 1.0),)
'boilerplate'	(('NN', 1.0),)
'boilers'	(('NNS', 1.0),)
'boiling'	(('VBG', 1.0),)
'boise'	(('NNP', 1.0),)
'boise-cascade'	(('NNP', 1.0),)
'boisvert'	(('NNP', 1.0),)
'bolar'	(('NNP', 1.0),)
'bold'	(('JJ', 1.0),)
'bolder'	(('JJR', 1.0),)
'boldest'	(('JJS', 1.0),)
'boldly'	(('RB', 1.0),)
'bolger'	(('NNP', 1.0),)
'bolinas'	(('NNP', 1.0),)
'bolivia'	(('NNP', 1.0),)
'bolling'	(('NNP', 1.0),)
'bollinger'	(('NNP', 1.0),)
'bologna'	(('NNP', 1.0),)
'bolster'	(('VB', 1.0),)
'bolstered'	(('VBN', 0.9167), ('VBD', 0.0833))
'bolstering'	(('VBG', 1.0),)
'bolsters'	(('VBZ', 1.0),)
'bolt'	(('NN', 1.0),)
'bolted'	(('VBN', 1.0),)
'bolton'	(('NNP', 1.0),)
'bolts'	(('NNS', 1.0),)
'bomb'	(('NN', 0.8), ('VB', 0.2))
'bombarded'	(('VBD', 0.6667), ('VBN', 0.3333))
'bombardment'	(('NN', 1.0),)
'bombast'	(('NN', 1.0),)
'bombay'	(('NNP', 1.0),)
'bombed'	(('VBN', 1.0),)
'bomber'	(('NN', 1.0),)
'bombers'	(('NNS', 1.0),)
'bombing'	(('NN', 1.0),)
'bombings'	(('NNS', 1.0),)
'bombs'	(('NNS', 1.0),)
'bombshell'	(('NN', 1.0),)
'bon'	(('NNP', 0.6667), ('FW', 0.3333))
'bona'	(('JJ', 1.0),)
'bonanza'	(('NN', 0.5), ('NNP', 0.5))
'bonaventure'	(('NNP', 1.0),)
'bond'	(('NN', 0.8222), ('NNP', 0.1778))
'bond-equivalent'	(('JJ', 1.0),)
'bond-holders'	(('NNS', 1.0),)
'bond-insurance'	(('JJ', 1.0),)
'bond-price'	(('JJ', 1.0),)
'bond-rating'	(('JJ', 1.0),)
'bond-trading'	(('JJ', 0.6667), ('NN', 0.3333))
'bonded'	(('VBN', 1.0),)
'bondholders'	(('NNS', 1.0),)
'bondholdings'	(('NNS', 1.0),)
'bonding'	(('NN', 1.0),)
'bonds'	(('NNS', 0.9923), ('NNPS', 0.0046), ('NNP', 0.0031))
'bone'	(('NN', 1.0),)
'bone-marrow'	(('NN', 1.0),)
'bonecrusher'	(('NNP', 1.0),)
'boned'	(('VBN', 1.0),)
'bones'	(('NNS', 1.0),)
'bonfire'	(('NN', 0.5), ('NNP', 0.5))
'bongo'	(('NNP', 1.0),)
'bonita'	(('NNP', 1.0),)
'bonn'	(('NNP', 1.0),)
'bonn-sponsored'	(('NNP', 1.0),)
'bonnet'	(('NN', 1.0),)
'bonnie'	(('NNP', 1.0),)
'bonniers'	(('NNP', 1.0),)
'bono'	(('FW', 1.0),)
'bonomo'	(('NNP', 1.0),)
'bonus'	(('NN', 1.0),)
'bonuses'	(('NNS', 1.0),)
'bonwit'	(('NNP', 1.0),)
'book'	(('NN', 0.9231), ('NNP', 0.0769))
'book-entry'	(('JJ', 1.0),)
'book-of-the-month'	(('NNP', 1.0),)
'book-publishing'	(('NN', 1.0),)
'booked'	(('VBN', 0.75), ('VBD', 0.25))
'booker'	(('NNP', 1.0),)
'bookers'	(('NNS', 1.0),)
'booking'	(('VBG', 0.6667), ('NN', 0.3333))
'bookings'	(('NNS', 1.0),)
'bookkeeper'	(('NN', 1.0),)
'bookkeeping'	(('NN', 1.0),)
'booklets'	(('NNS', 1.0),)
'bookman'	(('NNP', 1.0),)
'books'	(('NNS', 0.9444), ('NNPS', 0.0185), ('NN', 0.0185), ('NNP', 0.0185))
'bookstore'	(('NN', 1.0),)
'bookstores'	(('NNS', 1.0),)
'boom'	(('NN', 0.9118), ('VB', 0.0882))
'boom-and-bust'	(('JJ', 1.0),)
'boom-or-bust'	(('JJ', 1.0),)
'boomed'	(('VBD', 0.5), ('VBN', 0.5))
'boomers'	(('NNS', 1.0),)
'booming'	(('JJ', 0.75), ('VBG', 0.25))
'booms'	(('NNS', 1.0),)
'boon'	(('NN', 0.75), ('NNP', 0.25))
'boon-sanwa'	(('NNP', 1.0),)
'boone'	(('NNP', 1.0),)
'boorish'	(('JJ', 1.0),)
'boorstyn'	(('NNP', 1.0),)
'boost'	(('VB', 0.6262), ('NN', 0.3458), ('VBP', 0.028))
'boosted'	(('VBD', 0.5745), ('VBN', 0.4255))
'boosters'	(('NNS', 1.0),)
'boosting'	(('VBG', 1.0),)
'boosts'	(('VBZ', 0.5), ('NNS', 0.5))
'boot'	(('NN', 1.0),)
'booth'	(('NN', 1.0),)
'booths'	(('NNS', 1.0),)
'bootlegged'	(('VBN', 1.0),)
'boots'	(('NNP', 0.6667), ('NNS', 0.3333))
'booz-allen'	(('NNP', 1.0),)
'booze'	(('NN', 1.0),)
'boozing'	(('VBG', 1.0),)
'borax'	(('NNP', 1.0),)
'borden'	(('NNP', 1.0),)
'border'	(('NN', 0.9375), ('NNP', 0.0625))
'bordered'	(('VBN', 1.0),)
'bordering'	(('VBG', 1.0),)
'borders'	(('NNS', 1.0),)
'bordetella'	(('NN', 1.0),)
'bore'	(('VBD', 1.0),)
'bored'	(('VBN', 0.6667), ('JJ', 0.3333))
'boredom'	(('NN', 1.0),)
'boren'	(('NNP', 1.0),)
'borer'	(('NN', 1.0),)
'borgeson'	(('NNP', 1.0),)
'borie'	(('NNP', 1.0),)
'boring'	(('JJ', 0.5556), ('VBG', 0.3333), ('NN', 0.1111))
'boringly'	(('RB', 1.0),)
'boris'	(('NNP', 1.0),)
'bork'	(('NNP', 1.0),)
'borland'	(('NNP', 1.0),)
'born'	(('VBN', 0.9524), ('NNP', 0.0476))
'born-again'	(('JJ', 1.0),)
'borne'	(('VBN', 1.0),)
'borner'	(('NNP', 1.0),)
'borough'	(('NN', 0.9167), ('NNP', 0.0833))
'borrow'	(('VB', 0.913), ('VBP', 0.087))
'borrowed'	(('VBN', 0.76), ('VBD', 0.24))
'borrower'	(('NN', 1.0),)
'borrowers'	(('NNS', 1.0),)
'borrowing'	(('NN', 0.7586), ('VBG', 0.2414))
'borrowings'	(('NNS', 1.0),)
'borrows'	(('VBZ', 1.0),)
'bosch'	(('NNP', 1.0),)
'bosco'	(('NNP', 1.0),)
'bosket'	(('NNP', 1.0),)
'boskin'	(('NNP', 1.0),)
'bosom'	(('NN', 1.0),)
'bosque'	(('NNP', 1.0),)
'boss'	(('NN', 0.9286), ('NNP', 0.0714))
'bosses'	(('NNS', 1.0),)
'bostian'	(('NNP', 1.0),)
'bostic'	(('NNP', 1.0),)
'bostik'	(('NNP', 1.0),)
'boston'	(('NNP', 1.0),)
'boston-based'	(('JJ', 1.0),)
'bosworth'	(('NNP', 1.0),)
'botany'	(('NN', 1.0),)
'botched'	(('VBN', 1.0),)
'both'	(('DT', 0.9046), ('CC', 0.0581), ('PDT', 0.0353), ('CD', 0.0021))
'bother'	(('VB', 0.8889), ('VBP', 0.1111))
'bothered'	(('VBN', 0.8333), ('VBD', 0.1667))
'bothering'	(('VBG', 1.0),)
'bothersome'	(('JJ', 1.0),)
'bottle'	(('NN', 0.8), ('VB', 0.2))
'bottled'	(('JJ', 0.8333), ('VBN', 0.1667))
'bottled-water'	(('NN', 1.0),)
'bottleneck'	(('NN', 1.0),)
'bottler'	(('NN', 1.0),)
'bottlers'	(('NNS', 1.0),)
'bottles'	(('NNS', 1.0),)
'bottling'	(('NN', 0.5), ('VBG', 0.375), ('NNP', 0.125))
'bottom'	(('NN', 0.5758), ('JJ', 0.4242))
'bottom-line'	(('JJ', 1.0),)
'bottomed'	(('VBD', 0.5), ('VBN', 0.5))
'bottoming'	(('VBG', 1.0),)
'bottomless'	(('JJ', 1.0),)
'bottoms'	(('NNS', 1.0),)
'boucheron'	(('NNP', 1.0),)
'boudreau'	(('NNP', 1.0),)
'bougainville'	(('NNP', 1.0),)
'bought'	(('VBD', 0.6346), ('VBN', 0.3654))
'bouillaire'	(('NNP', 1.0),)
'boulder'	(('NNP', 1.0),)
'boulet'	(('NNP', 1.0),)
'boulevard'	(('NNP', 0.6), ('NN', 0.4))
'bounce'	(('VB', 0.375), ('NN', 0.375), ('VBP', 0.25))
'bounced'	(('VBD', 1.0),)
'bounces'	(('VBZ', 0.6667), ('NNS', 0.3333))
'bouncing'	(('VBG', 1.0),)
'bound'	(('VBN', 1.0),)
'boundaries'	(('NNS', 1.0),)
'boundary'	(('NN', 1.0),)
'bounding'	(('VBG', 1.0),)
'bounds'	(('VBZ', 0.5), ('NNS', 0.5))
'bounty'	(('NN', 1.0),)
'bouquet'	(('NNP', 1.0),)
'bourbon'	(('NN', 1.0),)
'bourbons'	(('NNS', 1.0),)
'bourgeois-bashing'	(('JJ', 1.0),)
'bourke'	(('NNP', 1.0),)
'bourse'	(('FW', 0.5), ('NNP', 0.5))
'bourses'	(('NNP', 0.5), ('NNS', 0.5))
'bout'	(('NN', 1.0),)
'boutique'	(('NN', 1.0),)
'boutique-store'	(('NN', 1.0),)
'boutiques'	(('NNS', 1.0),)
'bouts'	(('NNS', 1.0),)
'bouygues'	(('NNP', 0.6667), ('NNS', 0.3333))
'boveri'	(('NNP', 1.0),)
'bovine'	(('JJ', 1.0),)
'bow'	(('VB', 0.5), ('VBP', 0.25), ('NN', 0.25))
'bowater'	(('NN', 0.5), ('NNP', 0.5))
'bowed'	(('VBD', 1.0),)
'bowel'	(('NN', 1.0),)
'bowers'	(('NNP', 1.0),)
'bowes'	(('NNP', 1.0),)
'bowing'	(('VBG', 1.0),)
'bowker'	(('NNP', 1.0),)
'bowl'	(('NN', 0.375), ('NNP', 0.375), ('VBP', 0.25))
'bowles'	(('NNP', 1.0),)
'bowling'	(('NN', 0.6), ('VBG', 0.3), ('NNP', 0.1))
'bowling-related'	(('JJ', 1.0),)
'bowls'	(('VBZ', 0.6667), ('NNP', 0.3333))
'bowman'	(('NNP', 1.0),)
'bowne'	(('NNP', 1.0),)
'box'	(('NN', 0.7368), ('NNP', 0.2632))
'box-office'	(('NN', 1.0),)
'boxer'	(('NN', 1.0),)
'boxes'	(('NNS', 0.8182), ('NNPS', 0.1818))
'boxy'	(('JJ', 1.0),)
'boy'	(('NN', 0.8), ('NNP', 0.1), ('UH', 0.1))
'boycott'	(('NN', 1.0),)
'boycotted'	(('VBN', 1.0),)
'boyd'	(('NNP', 1.0),)
'boyer'	(('NNP', 1.0),)
'boyish'	(('JJ', 1.0),)
'boys'	(('NNS', 0.5714), ('NNPS', 0.4286))
'bozell'	(('NNP', 1.0),)
'bp'	(('NNP', 1.0),)
'bpc'	(('NNP', 1.0),)
'bpca'	(('NNP', 1.0),)
'bra'	(('NN', 1.0),)
'brace'	(('VB', 0.5), ('NNP', 0.5))
'braced'	(('VBN', 0.6667), ('NNP', 0.3333))
'brachfeld'	(('NNP', 1.0),)
'bracing'	(('VBG', 1.0),)
'bracket'	(('NN', 1.0),)
'bracknell'	(('NNP', 1.0),)
'bradford'	(('NNP', 1.0),)
'bradley'	(('NNP', 1.0),)
'bradstreet'	(('NNP', 1.0),)
'brady'	(('NNP', 1.0),)
'brae'	(('NNP', 1.0),)
'braeuer'	(('NNP', 1.0),)
'brag'	(('VB', 1.0),)
'bragg'	(('NNP', 1.0),)
'bragging'	(('NN', 1.0),)
'brags'	(('VBZ', 1.0),)
'brahms'	(('NNP', 1.0),)
'braids'	(('NNS', 1.0),)
'brain'	(('NN', 1.0),)
'brain-wave'	(('JJ', 1.0),)
'brainchild'	(('NN', 1.0),)
'brains'	(('NNS', 1.0),)
'braintree'	(('NNP', 1.0),)
'braitman'	(('NNP', 1.0),)
'brake'	(('NNP', 1.0),)
'brakes'	(('NNS', 1.0),)
'braking'	(('NNP', 0.5), ('VBG', 0.5))
'bran'	(('NN', 0.8571), ('NNP', 0.1429))
'bran-processing'	(('JJ', 1.0),)
'branca'	(('NNP', 1.0),)
'branch'	(('NN', 0.8919), ('VB', 0.0811), ('NNP', 0.027))
'branched'	(('VBN', 1.0),)
'branches'	(('NNS', 1.0),)
'branching'	(('NNP', 0.5), ('VBG', 0.5))
'brand'	(('NN', 0.9898), ('NNP', 0.0102))
'brand-name'	(('JJ', 0.6), ('NN', 0.4))
'brandon'	(('NNP', 1.0),)
'brands'	(('NNS', 0.6234), ('NNP', 0.1948), ('NNPS', 0.1688), ('VBZ', 0.013))
'brandy'	(('NN', 1.0),)
'branford'	(('NNP', 1.0),)
'braniff'	(('NNP', 1.0),)
'brannigan'	(('NNP', 1.0),)
'brannon'	(('NNP', 1.0),)
'brantford'	(('NNP', 1.0),)
'brash'	(('JJ', 1.0),)
'brass'	(('NN', 1.0),)
'brassieres'	(('NNS', 1.0),)
'brat'	(('NN', 1.0),)
'bratislava'	(('NNP', 1.0),)
'brats'	(('NNS', 1.0),)
'brauchli'	(('NNP', 1.0),)
'brauerei'	(('NNP', 1.0),)
'braumeisters'	(('NNPS', 1.0),)
'brave'	(('JJ', 0.5), ('VB', 0.25), ('NNP', 0.25))
'braves'	(('NNPS', 1.0),)
'bravest'	(('JJS', 1.0),)
'braving'	(('VBG', 1.0),)
'bravo'	(('NNP', 1.0),)
'bravura'	(('NN', 1.0),)
'brawer'	(('NNP', 1.0),)
'brawl'	(('NN', 1.0),)
'brawley'	(('NNP', 1.0),)
'brawls'	(('NNS', 1.0),)
'brawny'	(('JJ', 1.0),)
'braye'	(('NNP', 1.0),)
'brazen'	(('VB', 0.5), ('NNP', 0.5))
'brazil'	(('NNP', 1.0),)
'brazilian'	(('JJ', 1.0),)
'brazilians'	(('NNS', 1.0),)
'brea'	(('NNP', 1.0),)
'breach'	(('NN', 0.7692), ('VB', 0.2308))
'breach-of-contract'	(('JJ', 1.0),)
'breached'	(('VBD', 0.5), ('VBN', 0.5))
'breaches'	(('NNS', 1.0),)
'bread'	(('NN', 1.0),)
'bread-and-butter'	(('JJ', 1.0),)
'breadbasket'	(('NN', 1.0),)
'breadbox'	(('NN', 1.0),)
'breaded'	(('VBN', 1.0),)
'breadth'	(('NN', 1.0),)
'break'	(('VB', 0.6545), ('NN', 0.2545), ('VBP', 0.0909))
'break-even'	(('JJ', 0.8333), ('NN', 0.1667))
'break-up'	(('NN', 1.0),)
'breakage'	(('NN', 1.0),)
'breakdown'	(('NN', 1.0),)
'breakdowns'	(('NNS', 1.0),)
'breaker'	(('NN', 1.0),)
'breakers'	(('NNS', 0.9286), ('NNP', 0.0714))
'breakfast'	(('NN', 1.0),)
'breaking'	(('VBG', 0.6154), ('NN', 0.3077), ('JJ', 0.0769))
'breaks'	(('NNS', 0.7857), ('VBZ', 0.2143))
'breakthrough'	(('NN', 1.0),)
'breakthroughs'	(('NNS', 1.0),)
'breakup'	(('NN', 1.0),)
'breast'	(('NN', 1.0),)
'breast-cancer'	(('NN', 1.0),)
'breasts'	(('NNS', 1.0),)
'breath'	(('NN', 1.0),)
'breathed'	(('VBD', 1.0),)
'breather'	(('NN', 1.0),)
'breathing'	(('VBG', 0.6667), ('NN', 0.3333))
'breathlessly'	(('RB', 1.0),)
'breathtaking'	(('JJ', 1.0),)
'breathy'	(('JJ', 1.0),)
'brecht'	(('NNP', 1.0),)
'brechtian'	(('JJ', 1.0),)
'bred'	(('VBD', 0.5), ('VBN', 0.5))
'breed'	(('NN', 0.7778), ('VB', 0.1111), ('VBP', 0.1111))
'breeden'	(('NNP', 1.0),)
'breeder'	(('NN', 0.6667), ('NNP', 0.3333))
'breeders'	(('NNS', 0.75), ('NNP', 0.25))
'breeding'	(('VBG', 0.6667), ('NN', 0.3333))
'breene'	(('NNP', 1.0),)
'breeze'	(('NN', 1.0),)
'breezes'	(('NNS', 1.0),)
'breezier'	(('JJR', 1.0),)
'breezy'	(('JJ', 1.0),)
'breger'	(('NNP', 1.0),)
'bremen'	(('NNP', 1.0),)
'brenda'	(('NNP', 1.0),)
'brendan'	(('NNP', 1.0),)
'brendel'	(('NNP', 1.0),)
'brenmor'	(('NNP', 1.0),)
'brent'	(('NNP', 1.0),)
'brest'	(('NNP', 1.0),)
'brethren'	(('NNS', 1.0),)
'breuners'	(('NNP', 1.0),)
'brevetti'	(('NNP', 1.0),)
'brew'	(('VB', 0.5), ('NN', 0.5))
'brewed'	(('VBN', 1.0),)
'brewer'	(('NN', 1.0),)
'breweries'	(('NNS', 0.6667), ('NNPS', 0.3333))
'brewers'	(('NNS', 1.0),)
'brewery'	(('NN', 0.5), ('NNP', 0.5))
'brewing'	(('NN', 0.5789), ('NNP', 0.3684), ('VBG', 0.0526))
'brezhnevite'	(('NNP', 1.0),)
'brezinski'	(('NNP', 1.0),)
'brian'	(('NNP', 1.0),)
'briarcliff'	(('NNP', 1.0),)
'bribe'	(('NN', 0.6667), ('VB', 0.3333))
'bribed'	(('VBD', 1.0),)
'bribery'	(('NN', 1.0),)
'bribes'	(('NNS', 1.0),)
'bribing'	(('VBG', 1.0),)
'brick'	(('NN', 0.8182), ('NNP', 0.1818))
'bricks'	(('NNS', 1.0),)
'bricktop'	(('NNP', 1.0),)
'bride'	(('NN', 1.0),)
'brideshead'	(('NNP', 1.0),)
'bridge'	(('NNP', 0.5303), ('NN', 0.3939), ('JJ', 0.0606), ('VB', 0.0152))
'bridgeport'	(('NNP', 1.0),)
'bridgers'	(('NNP', 1.0),)
'bridges'	(('NNS', 0.8421), ('NNP', 0.1053), ('NNPS', 0.0526))
'bridget'	(('NNP', 1.0),)
'bridging'	(('VBG', 1.0),)
'brie'	(('NN', 1.0),)
'brief'	(('JJ', 0.6897), ('NN', 0.2759), ('VB', 0.0345))
'briefcase'	(('NN', 1.0),)
'briefed'	(('VBD', 1.0),)
'briefing'	(('NN', 1.0),)
'briefings'	(('NNS', 1.0),)
'briefly'	(('NN', 0.6364), ('RB', 0.3636))
'briefs'	(('NNS', 1.0),)
'brierley'	(('NNP', 1.0),)
'brigade'	(('NN', 0.75), ('NNP', 0.25))
'brigades'	(('NNS', 1.0),)
'briggs'	(('NNP', 1.0),)
'brigham'	(('NNP', 1.0),)
'bright'	(('JJ', 0.8824), ('NNP', 0.1176))
'brightened'	(('VBN', 1.0),)
'brightening'	(('VBG', 1.0),)
'brightest'	(('JJS', 1.0),)
'briksa'	(('NNP', 1.0),)
'brilliant'	(('JJ', 1.0),)
'brilliantly'	(('RB', 1.0),)
'brim'	(('NN', 1.0),)
'brimmed'	(('VBD', 1.0),)
'brimstone'	(('NN', 1.0),)
'brine'	(('NN', 1.0),)
'bring'	(('VB', 0.8427), ('VBP', 0.1573))
'bringing'	(('VBG', 0.973), ('NN', 0.027))
'brings'	(('VBZ', 1.0),)
'brink'	(('NN', 0.6667), ('NNP', 0.3333))
'brinkman'	(('NNP', 1.0),)
'briscoe'	(('NNP', 1.0),)
'brisk'	(('JJ', 1.0),)
'brisker'	(('JJR', 1.0),)
'briskly'	(('RB', 1.0),)
'brissette'	(('NNP', 1.0),)
'bristle'	(('VBP', 1.0),)
'bristled'	(('VBD', 1.0),)
'bristles'	(('VBZ', 1.0),)
'bristol'	(('NNP', 1.0),)
'bristol-myers'	(('NNP', 1.0),)
'britain'	(('NNP', 1.0),)
'britannia'	(('NNP', 1.0),)
'british'	(('JJ', 0.6083), ('NNP', 0.3739), ('NNPS', 0.0148), ('NNS', 0.003))
'british-based'	(('JJ', 1.0),)
'british-born'	(('JJ', 1.0),)
'british-owned'	(('JJ', 1.0),)
'britoil'	(('NNP', 1.0),)
'brittle'	(('JJ', 1.0),)
'britto'	(('NNP', 1.0),)
'britton'	(('NNP', 1.0),)
'brizola'	(('NNP', 1.0),)
'broad'	(('JJ', 0.9167), ('NNP', 0.0833))
'broad-based'	(('JJ', 1.0),)
'broad-scale'	(('JJ', 1.0),)
'broadbeach'	(('NNP', 1.0),)
'broadcast'	(('NN', 0.4815), ('VBN', 0.1852), ('VB', 0.1111), ('NNP', 0.1111), ('VBD', 0.1111))
'broadcaster'	(('NN', 1.0),)
'broadcasters'	(('NNS', 0.8333), ('NNPS', 0.1667))
'broadcasting'	(('NNP', 0.7059), ('NN', 0.2206), ('VBG', 0.0735))
'broadcasts'	(('NNS', 1.0),)
'broaden'	(('VB', 1.0),)
'broadened'	(('VBD', 0.5), ('VBN', 0.5))
'broadening'	(('VBG', 1.0),)
'broadens'	(('VBZ', 1.0),)
'broader'	(('JJR', 1.0),)
'broader-based'	(('JJ', 1.0),)
'broadest'	(('JJS', 1.0),)
'broadly'	(('RB', 1.0),)
'broadside'	(('NN', 1.0),)
'broadstar'	(('NNP', 1.0),)
'broadway'	(('NNP', 1.0),)
'broberg'	(('NNP', 1.0),)
'brochure'	(('NN', 1.0),)
'brochures'	(('NNS', 1.0),)
'brockville'	(('NNP', 1.0),)
'broder'	(('NNP', 1.0),)
'broderick'	(('NNP', 1.0),)
'brody'	(('NNP', 1.0),)
'broiler'	(('NN', 1.0),)
'broke'	(('VBD', 0.9677), ('RB', 0.0323))
'broken'	(('VBN', 0.5862), ('JJ', 0.4138))
'broken-down'	(('JJ', 1.0),)
'broker'	(('NN', 0.9091), ('NNP', 0.0909))
'broker-dealer'	(('NN', 0.5), ('JJ', 0.5))
'broker-dealers'	(('NNS', 1.0),)
'broker-sold'	(('JJ', 1.0),)
'brokerage'	(('NN', 0.9848), ('NNP', 0.0152))
'brokerage-house'	(('NN', 1.0),)
'brokerages'	(('NNS', 1.0),)
'brokering'	(('NN', 1.0),)
'brokers'	(('NNS', 0.9823), ('NNPS', 0.0177))
'bromley'	(('NNP', 1.0),)
'bronces'	(('NNP', 1.0),)
'bronco'	(('NNP', 1.0),)
'broncos'	(('NNS', 1.0),)
'broncs'	(('NNS', 1.0),)
'bronfman'	(('NNP', 1.0),)
'bronfmans'	(('NNP', 1.0),)
'bronner'	(('NNP', 1.0),)
'bronson'	(('NNP', 1.0),)
'bronston'	(('NNP', 1.0),)
'bronx'	(('NNP', 1.0),)
'bronze'	(('NN', 1.0),)
'brooch'	(('NN', 1.0),)
'brood'	(('NN', 1.0),)
'brook'	(('NNP', 1.0),)
'brooke'	(('NNP', 1.0),)
'brookings'	(('NNP', 1.0),)
'brookline'	(('NNP', 1.0),)
'brooklyn'	(('NNP', 1.0),)
'brooks'	(('NNP', 1.0),)
'brophy'	(('NNP', 1.0),)
'bros'	(('NNP', 0.8), ('NNPS', 0.2))
'bros.'	(('NNP', 0.6), ('NNPS', 0.4))
'brother'	(('NN', 1.0),)
'brotherhood'	(('NNP', 1.0),)
'brotherism'	(('NN', 1.0),)
'brotherly'	(('JJ', 1.0),)
'brothers'	(('NNPS', 0.5625), ('NNP', 0.3125), ('NNS', 0.125))
'brought'	(('VBN', 0.5217), ('VBD', 0.4783))
'brouhaha'	(('NN', 1.0),)
'brouwer'	(('NNP', 1.0),)
'brow'	(('NN', 1.0),)
'brow-beating'	(('NN', 1.0),)
'broward'	(('NNP', 1.0),)
'browbeat'	(('VB', 1.0),)
'browder'	(('NNP', 1.0),)
'brown'	(('NNP', 0.9565), ('JJ', 0.0435))
'brown-forman'	(('NNP', 1.0),)
'brown-tobacco'	(('JJ', 1.0),)
'browne'	(('NNP', 1.0),)
'browning'	(('NNP', 1.0),)
'browns'	(('NNPS', 0.5), ('NNP', 0.5))
'brozman'	(('NNP', 1.0),)
'bruce'	(('NNP', 1.0),)
'bruch'	(('NNP', 1.0),)
'bruckheimer'	(('NNP', 1.0),)
'bruised'	(('VBN', 1.0),)
'bruises'	(('NNS', 1.0),)
'bruising'	(('JJ', 0.5), ('VBG', 0.5))
'brunch'	(('NN', 1.0),)
'brunei'	(('NNP', 1.0),)
'bruner'	(('NNP', 1.0),)
'bruno'	(('NNP', 1.0),)
'brunswick'	(('NNP', 1.0),)
'brunswig'	(('NNP', 1.0),)
'brunt'	(('NN', 1.0),)
'brush'	(('NN', 0.4), ('NNP', 0.4), ('VB', 0.2))
'brushbacks'	(('NNS', 1.0),)
